Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,38.722500,39.712502,38.557499,39.480000,38.382229,148158800
2019-01-03,35.994999,36.430000,35.500000,35.547501,34.559078,365248800
2019-01-04,36.132500,37.137501,35.950001,37.064999,36.034370,234428400
2019-01-07,37.174999,37.207500,36.474998,36.982498,35.954170,219111200
2019-01-08,37.389999,37.955002,37.130001,37.687500,36.639565,164101200
2019-01-09,37.822498,38.632500,37.407501,38.327499,37.261772,180396400
2019-01-10,38.125000,38.492500,37.715000,38.450001,37.380867,143122800
2019-01-11,38.220001,38.424999,37.877499,38.072498,37.013863,108092800
2019-01-14,37.712502,37.817501,37.305000,37.500000,36.457287,129756800
2019-01-15,37.567501,38.347500,37.512501,38.267502,37.203442,114843600
2019-01-16,38.270000,38.970001,38.250000,38.735001,37.657940,122278800
2019-01-17,38.549999,39.415001,38.314999,38.965000,37.881542,119284800
2019-01-18,39.375000,39.470001,38.994999,39.205002,38.114872,135004000
2019-01-22,39.102501,39.182499,38.154999,38.325001,37.259346,121576000
2019-01-23,38.537498,38.785000,37.924999,38.480000,37.410030,92522400
2019-01-24,38.527500,38.619999,37.935001,38.174999,37.113518,101766000
2019-01-25,38.869999,39.532501,38.580002,39.439999,38.343330,134142000
2019-01-28,38.947498,39.082500,38.415001,39.075001,37.988491,104768400
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.594753,166348800
2019-01-30,40.812500,41.537498,40.057499,41.312500,40.163769,244439200
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.453007,162958400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.472450,130672400
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.622059,125982000
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.334198,144406400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.348778,112958400
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.546719,126966800
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.595535,95280000
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.356327,83973600
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.712708,89134000
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.539394,89960800
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.690739,87342800
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.597973,98507200
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.722466,75891200
2019-02-20,42.797501,43.330002,42.747501,43.007500,41.990967,104457600
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.754196,68998800
2019-02-22,42.895000,43.250000,42.845001,43.242500,42.220417,75652800
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.527966,87493600
2019-02-26,43.427502,43.825001,43.292500,43.582500,42.552376,68280800
2019-02-27,43.302502,43.750000,43.182499,43.717499,42.684185,111341600
2019-02-28,43.580002,43.727501,43.230000,43.287498,42.264351,112861600
2019-03-01,43.570000,43.787498,43.222500,43.742500,42.708599,103544800
2019-03-04,43.922501,44.437500,43.492500,43.962502,42.923389,109744800
2019-03-05,43.985001,44.000000,43.634998,43.882500,42.845276,78949600
2019-03-06,43.667500,43.872501,43.485001,43.630001,42.598755,83241600
2019-03-07,43.467499,43.610001,43.005001,43.125000,42.105690,99185600
2019-03-08,42.580002,43.267502,42.375000,43.227501,42.205765,95997600
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.667873,128044000
2019-03-12,45.000000,45.667500,44.842499,45.227501,44.158497,129870400
2019-03-13,45.562500,45.825001,45.230000,45.427502,44.353764,124130000
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.846821,94318000
2019-03-15,46.212502,46.832500,45.935001,46.529999,45.430202,156171600
2019-03-18,46.450001,47.097500,46.447498,47.005001,45.893982,104879200
2019-03-19,47.087502,47.247501,46.480000,46.632500,45.530289,126585600
2019-03-20,46.557499,47.372501,46.182499,47.040001,45.928154,124140800
2019-03-21,47.505001,49.082500,47.452499,48.772499,47.619701,204136800
2019-03-22,48.834999,49.422501,47.695000,47.762501,46.633575,169630800
2019-03-25,47.877499,47.994999,46.650002,47.185001,46.069717,175381200
2019-03-26,47.915001,48.220001,46.145000,46.697498,45.593746,199202000
2019-03-27,47.187500,47.439999,46.637501,47.117500,46.003822,119393600
2019-03-28,47.237499,47.389999,46.882500,47.180000,46.064842,83121600
2019-03-29,47.457500,47.520000,47.134998,47.487499,46.365074,94256000
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.679958,111448000
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.358524,91062800
2019-04-03,48.312500,49.125000,48.287498,48.837502,47.683170,93087200
2019-04-04,48.697498,49.092499,48.285000,48.922501,47.766151,76457200
2019-04-05,49.112499,49.275002,48.982498,49.250000,48.085915,74106400
2019-04-08,49.105000,50.057499,49.084999,50.025002,48.842606,103526800
2019-04-09,50.080002,50.712502,49.807499,49.875000,48.696148,143072800
2019-04-10,49.669998,50.185001,49.544998,50.154999,48.969524,86781200
2019-04-11,50.212502,50.250000,49.610001,49.737499,48.561893,83603200
2019-04-12,49.799999,50.035000,49.052502,49.717499,48.542358,111042800
2019-04-15,49.645000,49.962502,49.502499,49.807499,48.630234,70146400
2019-04-16,49.865002,50.342499,49.639999,49.812500,48.635120,102785600
2019-04-17,49.884998,50.845001,49.652500,50.782501,49.582195,115627200
2019-04-18,50.779999,51.037498,50.630001,50.965000,49.760384,96783200
2019-04-22,50.707500,51.235001,50.584999,51.132500,49.923920,77758000
2019-04-23,51.107498,51.937500,50.974998,51.869999,50.643993,93292000
2019-04-24,51.840000,52.119999,51.762501,51.790001,50.565884,70162400
2019-04-25,51.707500,51.939999,51.279999,51.320000,50.106991,74172800
2019-04-26,51.224998,51.250000,50.529999,51.075001,49.867779,74596400
2019-04-29,51.099998,51.492500,50.965000,51.152500,49.943447,88818800
2019-04-30,50.764999,50.849998,49.777500,50.167500,48.981728,186139600
2019-05-01,52.470001,53.827499,52.307499,52.630001,51.386028,259309200
2019-05-02,52.459999,53.162498,52.032501,52.287498,51.051617,127985200
2019-05-03,52.722500,52.959999,52.557499,52.937500,51.686256,83569600
2019-05-06,51.072498,52.209999,50.875000,52.119999,50.888084,129772400
2019-05-07,51.470001,51.855000,50.207500,50.715000,49.516289,155054800
2019-05-08,50.474998,51.334999,50.437500,50.724998,49.526047,105358000
2019-05-09,50.099998,50.419998,49.165001,50.180000,48.993931,139634400
2019-05-10,49.355000,49.712502,48.192501,49.294998,48.315205,164834800
2019-05-13,46.927502,47.369999,45.712502,46.430000,45.507145,229722400
2019-05-14,46.602501,47.424999,46.352501,47.165001,46.227535,146118800
2019-05-15,46.567501,47.937500,46.505001,47.730000,46.781300,106178800
2019-05-16,47.477501,48.117500,47.209999,47.520000,46.575474,132125600
2019-05-17,46.732498,47.724998,46.689999,47.250000,46.310848,131516400
2019-05-20,45.880001,46.087502,45.070000,45.772499,44.862717,154449200
2019-05-21,46.305000,47.000000,46.174999,46.650002,45.722771,113459200
2019-05-22,46.165001,46.427502,45.637501,45.695000,44.786758,118994400
2019-05-23,44.950001,45.134998,44.452499,44.915001,44.022259,146118800
2019-05-24,45.049999,45.535000,44.654999,44.742500,43.853184,94858800
2019-05-28,44.730000,45.147499,44.477501,44.557499,43.671864,111792800
2019-05-29,44.105000,44.837502,44.000000,44.345001,43.463585,113924800
2019-05-30,44.487499,44.807499,44.167500,44.575001,43.689014,84873600
2019-05-31,44.057499,44.497501,43.747501,43.767502,42.897572,108174400
2019-06-03,43.900002,44.480000,42.567501,43.325001,42.463867,161584400
2019-06-04,43.860001,44.957500,43.630001,44.910000,44.017353,123872000
2019-06-05,46.070000,46.247501,45.285000,45.634998,44.727940,119093600
2019-06-06,45.770000,46.367500,45.537498,46.305000,45.384624,90105200
2019-06-07,46.627499,47.980000,46.442501,47.537498,46.592632,122737600
2019-06-10,47.952499,48.842499,47.904999,48.145000,47.188061,104883600
2019-06-11,48.715000,49.000000,48.400002,48.702499,47.734474,107731600
2019-06-12,48.487499,48.992500,48.347500,48.547501,47.582554,73012800
2019-06-13,48.674999,49.197498,48.400002,48.537498,47.572758,86698400
2019-06-14,47.887501,48.397499,47.575001,48.185001,47.227264,75046000
2019-06-17,48.224998,48.740002,48.042500,48.472500,47.509045,58676400
2019-06-18,49.012501,50.072498,48.802502,49.612499,48.626396,106204000
2019-06-19,49.919998,49.970001,49.327499,49.467499,48.484268,84496800
2019-06-20,50.092499,50.152500,49.507500,49.865002,48.873875,86056000
2019-06-21,49.700001,50.212502,49.537498,49.695000,48.707249,191202400
2019-06-24,49.634998,50.040001,49.542500,49.645000,48.658245,72881600
2019-06-25,49.607498,49.814999,48.822498,48.892502,47.920704,84281200
2019-06-26,49.442501,50.247501,49.337502,49.950001,48.957184,104270000
2019-06-27,50.072498,50.392502,49.892502,49.935001,48.942478,83598800
2019-06-28,49.669998,49.875000,49.262501,49.480000,48.496521,124442400
2019-07-01,50.792500,51.122501,50.162498,50.387501,49.385983,109012000
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.675121,67740800
2019-07-03,50.820000,51.110001,50.672501,51.102501,50.086777,45448000
2019-07-05,50.837502,51.270000,50.724998,51.057499,50.042667,69062000
2019-07-08,50.202499,50.349998,49.602501,50.005001,49.011086,101354400
2019-07-09,49.799999,50.377499,49.702499,50.310001,49.310032,82312000
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.797630,71588400
2019-07-11,50.827499,51.097500,50.427502,50.437500,49.434998,80767200
2019-07-12,50.612499,51.000000,50.549999,50.825001,49.814785,70380800
2019-07-15,51.022499,51.467499,51.000000,51.302502,50.282806,67789600
2019-07-16,51.147499,51.527500,50.875000,51.125000,50.108826,67467200
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.827045,56430000
2019-07-18,51.000000,51.470001,50.924999,51.415001,50.393063,74162400
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.640816,83717200
2019-07-22,50.912498,51.807499,50.902500,51.805000,50.775307,89111600
2019-07-23,52.115002,52.227501,51.822498,52.209999,51.172260,73420800
2019-07-24,51.917500,52.287498,51.792500,52.167500,51.130600,59966400
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.726307,55638400
2019-07-26,51.869999,52.432499,51.785000,51.935001,50.902725,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.378078,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,51.157562,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,52.201385,277125600
